"levelName","cancel_e","n_e","cancel_c","n_c","loss","P","profit"
"     ¦       ¦                                       ¦--Not.c                   ",1,1,3,6,5.7,0.428455873398467,-3.20183663125917
"     ¦       ¦                                       ¦   °--Control             ",1,1,3,6,NA,NA,-8.90183663125917
"     ¦       ¦                                       ¦       ¦--Not.c           ",1,1,3,7,5.7,0.499129863483893,2.38630336189818
"     ¦       ¦                                       ¦       ¦   °--Control     ",1,1,3,7,NA,NA,-3.31369663810182
"     ¦       ¦                                       ¦       ¦       ¦--Not.c   ",1,1,3,8,5.7,0.555756696002867,5.7
"     ¦       ¦                                       ¦       ¦       °--Canceled",1,1,4,8,-14.59,0.444243303997133,-14.59
"     ¦       ¦                                       ¦       °--Canceled        ",1,1,4,7,-14.59,0.500870136516107,-20.1507559878048
"     ¦       ¦                                       ¦           °--Control     ",1,1,4,7,NA,NA,-5.56075598780481
"     ¦       ¦                                       ¦               ¦--Not.c   ",1,1,4,8,5.7,0.44500956196132,5.7
"     ¦       ¦                                       ¦               °--Canceled",1,1,5,8,-14.59,0.55499043803868,-14.59
"     ¦       ¦                                       °--Canceled                ",1,1,4,6,-14.59,0.571544126601533,-28.5430231106053
"     ¦       ¦                                           °--Control             ",1,1,4,6,NA,NA,-13.9530231106053
"     ¦       ¦                                               ¦--Not.c           ",1,1,4,7,5.7,0.37490987871797,0.134680104803885
"     ¦       ¦                                               ¦   °--Control     ",1,1,4,7,NA,NA,-5.56531989519612
"     ¦       ¦                                               ¦       ¦--Not.c   ",1,1,4,8,5.7,0.444784628132276,5.7
"     ¦       ¦                                               ¦       °--Canceled",1,1,5,8,-14.59,0.555215371867724,-14.59
"     ¦       ¦                                               °--Canceled        ",1,1,5,7,-14.59,0.62509012128203,-22.402395327641
"     ¦       ¦                                                   °--Control     ",1,1,5,7,NA,NA,-7.81239532764097
"     ¦       ¦                                                       ¦--Not.c   ",1,1,5,8,5.7,0.33403670144697,5.7
"     ¦       ¦                                                       °--Canceled",1,1,6,8,-14.59,0.66596329855303,-14.59
"     ¦       °--Canceled                                                        ",0,0,1,2,-14.59,0.332817226124615,-35.3923018449491
"     ¦           °--Experiment                                                  ",0,0,1,2,NA,NA,-20.8023018449491
"     ¦               ¦--Not.c                                                   ",0,1,1,2,5.37,0.500562497450288,-0.856358764564919
"     ¦               ¦   °--Experiment                                          ",0,1,1,2,NA,NA,-6.22635876456492
"     ¦               ¦       ¦--Not.c                                           ",0,2,1,2,5.37,0.666358905743366,7.13377893493195
"     ¦               ¦       ¦   °--Experiment                                  ",0,2,1,2,NA,NA,1.76377893493195
"     ¦               ¦       ¦       ¦--Not.c                                   ",0,3,1,2,5.37,0.750006421226844,10.6225608167564
"     ¦               ¦       ¦       ¦   °--Experiment                          ",0,3,1,2,NA,NA,5.25256081675636
"     ¦               ¦       ¦       ¦       ¦--Not.c                           ",0,4,1,2,5.37,0.799859440022527,11.3358370164627
"     ¦               ¦       ¦       ¦       ¦   °--Experiment                  ",0,4,1,2,NA,NA,5.96583701646272
"     ¦               ¦       ¦       ¦       ¦       ¦--Not.c                   ",0,5,1,2,5.37,0.832509622837731,10.3376632883961
"     ¦               ¦       ¦       ¦       ¦       ¦   °--Experiment          ",0,5,1,2,NA,NA,4.96766328839615
"     ¦               ¦       ¦       ¦       ¦       ¦       ¦--Not.c           ",0,6,1,2,5.37,0.858119929986566,8.20745394960957
"     ¦               ¦       ¦       ¦       ¦       ¦       ¦   °--Experiment  ",0,6,1,2,NA,NA,2.83745394960957
"     ¦               ¦       ¦       ¦       ¦       ¦       ¦       ¦--Not.c   ",0,7,1,2,5.37,0.875182550498254,5.37
"     ¦               ¦       ¦       ¦       ¦       ¦       ¦       °--Canceled",1,7,1,2,-14.92,0.124817449501746,-14.92
"     ¦               ¦       ¦       ¦       ¦       ¦       °--Canceled        ",1,6,1,2,-14.92,0.141880070013434,-14.6272589237818
"     ¦               ¦       ¦       ¦       ¦       ¦           °--Experiment  ",1,6,1,2,NA,NA,0.292741076218248
"     ¦               ¦       ¦       ¦       ¦       ¦               ¦--Not.c   ",1,7,1,2,5.37,0.749765454717509,5.37
"     ¦               ¦       ¦       ¦       ¦       ¦               °--Canceled",2,7,1,2,-14.92,0.250234545282492,-14.92
"     ¦               ¦       ¦       ¦       ¦       °--Canceled                ",1,5,1,2,-14.92,0.167490377162269,-15.7642916179319
"     ¦               ¦       ¦       ¦       ¦           °--Experiment          ",1,5,1,2,NA,NA,-0.844291617931924
"     ¦               ¦       ¦       ¦       ¦               ¦--Not.c           ",1,6,1,2,5.37,0.714163011591203,5.67651515051112
"     ¦               ¦       ¦       ¦       ¦               ¦   °--Experiment  ",1,6,1,2,NA,NA,0.306515150511118
"     ¦               ¦       ¦       ¦       ¦               ¦       ¦--Not.c   ",1,7,1,2,5.37,0.750444314958655,5.37
"     ¦               ¦       ¦       ¦       ¦               ¦       °--Canceled",2,7,1,2,-14.92,0.249555685041345,-14.92
"     ¦               ¦       ¦       ¦       ¦               °--Canceled        ",2,6,1,2,-14.92,0.285836988408797,-17.1365112696986
"     ¦               ¦       ¦       ¦       ¦                   °--Experiment  ",2,6,1,2,NA,NA,-2.21651126969855
"     ¦               ¦       ¦       ¦       ¦                       ¦--Not.c   ",2,7,1,2,5.37,0.626096043878829,5.37
"     ¦               ¦       ¦       ¦       ¦                       °--Canceled",3,7,1,2,-14.92,0.373903956121171,-14.92
"     ¦               ¦       ¦       ¦       °--Canceled                        ",1,4,1,2,-14.92,0.200140559977473,-19.0591823658708
"     ¦               ¦       ¦       ¦           °--Experiment                  ",1,4,1,2,NA,NA,-4.13918236587078
"     ¦               ¦       ¦       ¦               ¦--Not.c                   ",1,5,1,2,5.37,0.666521170895729,4.51918587299301
"     ¦               ¦       ¦       ¦               ¦   °--Experiment          ",1,5,1,2,NA,NA,-0.850814127006987
"     ¦               ¦       ¦       ¦               ¦       ¦--Not.c           ",1,6,1,2,5.37,0.714159719603172,5.67384915171041
"     ¦               ¦       ¦       ¦               ¦       ¦   °--Experiment  ",1,6,1,2,NA,NA,0.303849151710408
"     ¦               ¦       ¦       ¦               ¦       ¦       ¦--Not.c   ",1,7,1,2,5.37,0.750312920242011,5.37
"     ¦               ¦       ¦       ¦               ¦       ¦       °--Canceled",2,7,1,2,-14.92,0.249687079757989,-14.92
"     ¦               ¦       ¦       ¦               ¦       °--Canceled        ",2,6,1,2,-14.92,0.285840280396828,-17.1524063699372
"     ¦               ¦       ¦       ¦               ¦           °--Experiment  ",2,6,1,2,NA,NA,-2.23240636993721
"     ¦               ¦       ¦       ¦               ¦               ¦--Not.c   ",2,7,1,2,5.37,0.625312648105608,5.37
"     ¦               ¦       ¦       ¦               ¦               °--Canceled",3,7,1,2,-14.92,0.374687351894392,-14.92
"     ¦               ¦       ¦       ¦               °--Canceled                ",2,5,1,2,-14.92,0.333478829104271,-21.4445859865889
"     ¦               ¦       ¦       ¦                   °--Experiment          ",2,5,1,2,NA,NA,-6.52458598658886
"     ¦               ¦       ¦       ¦                       ¦--Not.c           ",2,6,1,2,5.37,0.571320921597744,3.12108518524629
"     ¦               ¦       ¦       ¦                       ¦   °--Experiment  ",2,6,1,2,NA,NA,-2.24891481475371
"     ¦               ¦       ¦       ¦                       ¦       ¦--Not.c   ",2,7,1,2,5.37,0.624499023422686,5.37
"     ¦               ¦       ¦       ¦                       ¦       °--Canceled",3,7,1,2,-14.92,0.375500976577314,-14.92
"     ¦               ¦       ¦       ¦                       °--Canceled        ",3,6,1,2,-14.92,0.428679078402256,-19.3798290366137
"     ¦               ¦       ¦       ¦                           °--Control     ",3,6,1,2,NA,NA,-4.45982903661366
"     ¦               ¦       ¦       ¦                               ¦--Not.c   ",3,6,1,3,5.7,0.499269145558715,5.7
"     ¦               ¦       ¦       ¦                               °--Canceled",3,6,2,3,-14.59,0.500730854441285,-14.59
"     ¦               ¦       ¦       °--Canceled                                ",1,3,1,2,-14.92,0.249993578773156,-24.8134768818873
"     ¦               ¦       ¦           °--Experiment                          ",1,3,1,2,NA,NA,-9.89347688188732
"     ¦               ¦       ¦               ¦--Not.c                           ",1,4,1,2,5.37,0.599402635721006,1.22471356486145
"     ¦               ¦       ¦               ¦   °--Experiment                  ",1,4,1,2,NA,NA,-4.14528643513855
"     ¦               ¦       ¦               ¦       ¦--Not.c                   ",1,5,1,2,5.37,0.666589873681709,4.50924159086576
"     ¦               ¦       ¦               ¦       ¦   °--Experiment          ",1,5,1,2,NA,NA,-0.860758409134236
"     ¦               ¦       ¦               ¦       ¦       ¦--Not.c           ",1,6,1,2,5.37,0.71355113653118,5.68321587778301
"     ¦               ¦       ¦               ¦       ¦       ¦   °--Experiment  ",1,6,1,2,NA,NA,0.313215877783005
"     ¦               ¦       ¦               ¦       ¦       ¦       ¦--Not.c   ",1,7,1,2,5.37,0.750774562729571,5.37
"     ¦               ¦       ¦               ¦       ¦       ¦       °--Canceled",2,7,1,2,-14.92,0.249225437270429,-14.92
"     ¦               ¦       ¦               ¦       ¦       °--Canceled        ",2,6,1,2,-14.92,0.28644886346882,-17.1619586768354
"     ¦               ¦       ¦               ¦       ¦           °--Experiment  ",2,6,1,2,NA,NA,-2.24195867683541
"     ¦               ¦       ¦               ¦       ¦               ¦--Not.c   ",2,7,1,2,5.37,0.624841859199832,5.37
"     ¦               ¦       ¦               ¦       ¦               °--Canceled",3,7,1,2,-14.92,0.375158140800168,-14.92
"     ¦               ¦       ¦               ¦       °--Canceled                ",2,5,1,2,-14.92,0.333410126318291,-21.4483624014685
"     ¦               ¦       ¦               ¦           °--Experiment          ",2,5,1,2,NA,NA,-6.52836240146846
"     ¦               ¦       ¦               ¦               ¦--Not.c           ",2,6,1,2,5.37,0.571370068564801,3.12745799058425
"     ¦               ¦       ¦               ¦               ¦   °--Experiment  ",2,6,1,2,NA,NA,-2.24254200941575
"     ¦               ¦       ¦               ¦               ¦       ¦--Not.c   ",2,7,1,2,5.37,0.624813109442299,5.37
"     ¦               ¦       ¦               ¦               ¦       °--Canceled",3,7,1,2,-14.92,0.375186890557701,-14.92
"     ¦               ¦       ¦               ¦               °--Canceled        ",3,6,1,2,-14.92,0.428629931435199,-19.3997144813001
"     ¦               ¦       ¦               ¦                   °--Control     ",3,6,1,2,NA,NA,-4.47971448130012
"     ¦               ¦       ¦               ¦                       ¦--Not.c   ",3,6,1,3,5.7,0.498289084213893,5.7
"     ¦               ¦       ¦               ¦                       °--Canceled",3,6,2,3,-14.59,0.501710915786107,-14.59
"     ¦               ¦       ¦               °--Canceled                        ",2,4,1,2,-14.92,0.400597364278994,-26.5293143897647
"     ¦               ¦       ¦                   °--Control                     ",2,4,1,2,NA,NA,-11.6093143897647
"     ¦               ¦       ¦                       ¦--Not.c                   ",2,4,1,3,5.7,0.500052890368095,0.903160144971679
"     ¦               ¦       ¦                       ¦   °--Control             ",2,4,1,3,NA,NA,-4.79683985502832
"     ¦               ¦       ¦                       ¦       ¦--Not.c           ",2,4,1,4,5.7,0.600584515834802,4.66119710426693
"     ¦               ¦       ¦                       ¦       ¦   °--Control     ",2,4,1,4,NA,NA,-1.03880289573307
"     ¦               ¦       ¦                       ¦       ¦       ¦--Not.c   ",2,4,1,5,5.7,0.667875658169883,5.7
"     ¦               ¦       ¦                       ¦       ¦       °--Canceled",2,4,2,5,-14.59,0.332124341830117,-14.59
"     ¦               ¦       ¦                       ¦       °--Canceled        ",2,4,2,4,-14.59,0.399415484165198,-19.0184981861225
"     ¦               ¦       ¦                       ¦           °--Control     ",2,4,2,4,NA,NA,-4.42849818612248
"     ¦               ¦       ¦                       ¦               ¦--Not.c   ",2,4,2,5,5.7,0.500813297874693,5.7
"     ¦               ¦       ¦                       ¦               °--Canceled",2,4,3,5,-14.59,0.499186702125307,-14.59
"     ¦               ¦       ¦                       °--Canceled                ",2,4,2,3,-14.59,0.499947109631905,-24.1244363620848
"     ¦               ¦       ¦                           °--Experiment          ",2,4,2,3,NA,NA,-9.53443636208477
"     ¦               ¦       ¦                               ¦--Not.c           ",2,5,2,3,5.37,0.500189165983154,2.05236188221555
"     ¦               ¦       ¦                               ¦   °--Experiment  ",2,5,2,3,NA,NA,-3.31763811778445
"     ¦               ¦       ¦                               ¦       ¦--Not.c   ",2,6,2,3,5.37,0.571826608290564,5.37
"     ¦               ¦       ¦                               ¦       °--Canceled",3,6,2,3,-14.92,0.428173391709436,-14.92
"     ¦               ¦       ¦                               °--Canceled        ",3,5,2,3,-14.92,0.499810834016846,-21.1300052369209
"     ¦               ¦       ¦                                   °--Experiment  ",3,5,2,3,NA,NA,-6.21000523692093
"     ¦               ¦       ¦                                       ¦--Not.c   ",3,6,2,3,5.37,0.429275247071418,5.37
"     ¦               ¦       ¦                                       °--Canceled",4,6,2,3,-14.92,0.570724752928582,-14.92
"     ¦               ¦       °--Canceled                                        ",1,2,1,2,-14.92,0.333641094256634,-32.9096627438091
"     ¦               ¦           °--Control                                     ",1,2,1,2,NA,NA,-17.9896627438091
"     ¦               ¦               ¦--Not.c                                   ",1,2,1,3,5.7,0.499639138824014,-3.42915657633274
"     ¦               ¦               ¦   °--Control                             ",1,2,1,3,NA,NA,-9.12915657633274
"     ¦               ¦               ¦       ¦--Not.c                           ",1,2,1,4,5.7,0.599114765097916,2.48210761298345
"     ¦               ¦               ¦       ¦   °--Control                     ",1,2,1,4,NA,NA,-3.21789238701655
"     ¦               ¦               ¦       ¦       ¦--Not.c                   ",1,2,1,5,5.7,0.665916729860971,5.49905138011612
"     ¦               ¦               ¦       ¦       ¦   °--Control             ",1,2,1,5,NA,NA,-0.200948619883884
"     ¦               ¦               ¦       ¦       ¦       ¦--Not.c           ",1,2,1,6,5.7,0.714127502184619,6.32402358155933
"     ¦               ¦               ¦       ¦       ¦       ¦   °--Control     ",1,2,1,6,NA,NA,0.624023581559328
"     ¦               ¦               ¦       ¦       ¦       ¦       ¦--Not.c   ",1,2,1,7,5.7,0.749828663457828,5.7
"     ¦               ¦               ¦       ¦       ¦       ¦       °--Canceled",1,2,2,7,-14.59,0.250171336542172,-14.59
"     ¦               ¦               ¦       ¦       ¦       °--Canceled        ",1,2,2,6,-14.59,0.285872497815381,-16.5007400851335
"     ¦               ¦               ¦       ¦       ¦           °--Control     ",1,2,2,6,NA,NA,-1.91074008513346
"     ¦               ¦               ¦       ¦       ¦               ¦--Not.c   ",1,2,2,7,5.7,0.624901917933294,5.7
"     ¦               ¦               ¦       ¦       ¦               °--Canceled",1,2,3,7,-14.59,0.375098082066706,-14.59
"     ¦               ¦               ¦       ¦       °--Canceled                ",1,2,2,5,-14.59,0.334083270139029,-20.5930775777485
"     ¦               ¦               ¦       ¦           °--Control             ",1,2,2,5,NA,NA,-6.00307757774849
"     ¦               ¦               ¦       ¦               ¦--Not.c           ",1,2,2,6,5.7,0.571325754959214,3.78999119015679
"     ¦               ¦               ¦       ¦               ¦   °--Control     ",1,2,2,6,NA,NA,-1.91000880984321
"     ¦               ¦               ¦       ¦               ¦       ¦--Not.c   ",1,2,2,7,5.7,0.624937959100877,5.7
"     ¦               ¦               ¦       ¦               ¦       °--Canceled",1,2,3,7,-14.59,0.375062040899123,-14.59
"     ¦               ¦               ¦       ¦               °--Canceled        ",1,2,3,6,-14.59,0.428674245040786,-19.0550219665667
"     ¦               ¦               ¦       ¦                   °--Control     ",1,2,3,6,NA,NA,-4.46502196656675
"     ¦               ¦               ¦       ¦                       ¦--Not.c   ",1,2,3,7,5.7,0.499013210124852,5.7
"     ¦               ¦               ¦       ¦                       °--Canceled",1,2,4,7,-14.59,0.500986789875148,-14.59
"     ¦               ¦               ¦       °--Canceled                        ",1,2,2,4,-14.59,0.400885234902084,-26.4819528671992
"     ¦               ¦               ¦           °--Experiment                  ",1,2,2,4,NA,NA,-11.8919528671992
"     ¦               ¦               ¦               ¦--Not.c                   ",1,3,2,4,5.37,0.500014369508957,0.0302019743162409
"     ¦               ¦               ¦               ¦   °--Experiment          ",1,3,2,4,NA,NA,-5.33979802568376
"     ¦               ¦               ¦               ¦       ¦--Not.c           ",1,4,2,4,5.37,0.601066028991284,3.97427662014741
"     ¦               ¦               ¦               ¦       ¦   °--Experiment  ",1,4,2,4,NA,NA,-1.39572337985259
"     ¦               ¦               ¦               ¦       ¦       ¦--Not.c   ",1,5,2,4,5.37,0.666548872358177,5.37
"     ¦               ¦               ¦               ¦       ¦       °--Canceled",2,5,2,4,-14.92,0.333451127641823,-14.92
"     ¦               ¦               ¦               ¦       °--Canceled        ",2,4,2,4,-14.92,0.398933971008716,-19.3731325319994
"     ¦               ¦               ¦               ¦           °--Control     ",2,4,2,4,NA,NA,-4.45313253199943
"     ¦               ¦               ¦               ¦               ¦--Not.c   ",2,4,2,5,5.7,0.499599185214419,5.7
"     ¦               ¦               ¦               ¦               °--Canceled",2,4,3,5,-14.59,0.500400814785581,-14.59
"     ¦               ¦               ¦               °--Canceled                ",2,3,2,4,-14.92,0.499985630491043,-23.8147929904521
"     ¦               ¦               ¦                   °--Control             ",2,3,2,4,NA,NA,-8.89479299045208
"     ¦               ¦               ¦                       ¦--Not.c           ",2,3,2,5,5.7,0.499530475979593,2.69910022235201
"     ¦               ¦               ¦                       ¦   °--Control     ",2,3,2,5,NA,NA,-3.00089977764799
"     ¦               ¦               ¦                       ¦       ¦--Not.c   ",2,3,2,6,5.7,0.571173002580188,5.7
"     ¦               ¦               ¦                       ¦       °--Canceled",2,3,3,6,-14.59,0.428826997419812,-14.59
"     ¦               ¦               ¦                       °--Canceled        ",2,3,3,5,-14.59,0.500469524020407,-20.4669321859098
"     ¦               ¦               ¦                           °--Control     ",2,3,3,5,NA,NA,-5.87693218590977
"     ¦               ¦               ¦                               ¦--Not.c   ",2,3,3,6,5.7,0.429426703503708,5.7
"     ¦               ¦               ¦                               °--Canceled",2,3,4,6,-14.59,0.570573296496292,-14.59
"     ¦               ¦               °--Canceled                                ",1,2,2,3,-14.59,0.500360861175986,-32.5291667834764
"     ¦               ¦                   °--Experiment                          ",1,2,2,3,NA,NA,-17.9391667834764
"     ¦               ¦                       ¦--Not.c                           ",1,3,2,3,5.37,0.499942634198072,-2.8605230036239
"     ¦               ¦                       ¦   °--Experiment                  ",1,3,2,3,NA,NA,-8.2305230036239
"     ¦               ¦                       ¦       ¦--Not.c                   ",1,4,2,3,5.37,0.600226061145595,2.58972876406807
"     ¦               ¦                       ¦       ¦   °--Experiment          ",1,4,2,3,NA,NA,-2.78027123593193
"     ¦               ¦                       ¦       ¦       ¦--Not.c           ",1,5,2,3,5.37,0.6667420597694,4.95242200957211
"     ¦               ¦                       ¦       ¦       ¦   °--Experiment  ",1,5,2,3,NA,NA,-0.417577990427893
"     ¦               ¦                       ¦       ¦       ¦       ¦--Not.c   ",1,6,2,3,5.37,0.71475712220661,5.37
"     ¦               ¦                       ¦       ¦       ¦       °--Canceled",2,6,2,3,-14.92,0.28524287779339,-14.92
"     ¦               ¦                       ¦       ¦       °--Canceled        ",2,5,2,3,-14.92,0.3332579402306,-18.2509058395809
"     ¦               ¦                       ¦       ¦           °--Experiment  ",2,5,2,3,NA,NA,-3.3309058395809
"     ¦               ¦                       ¦       ¦               ¦--Not.c   ",2,6,2,3,5.37,0.571172703815628,5.37
"     ¦               ¦                       ¦       ¦               °--Canceled",3,6,2,3,-14.92,0.428827296184371,-14.92
"     ¦               ¦                       ¦       °--Canceled                ",2,4,2,3,-14.92,0.399773938854405,-24.4761970406468
"     ¦               ¦                       ¦           °--Experiment          ",2,4,2,3,NA,NA,-9.55619704064683
"     ¦               ¦                       ¦               ¦--Not.c           ",2,5,2,3,5.37,0.499764361917725,2.05523772655858
"     ¦               ¦                       ¦               ¦   °--Experiment  ",2,5,2,3,NA,NA,-3.31476227344142
"     ¦               ¦                       ¦               ¦       ¦--Not.c   ",2,6,2,3,5.37,0.571968345320778,5.37
"     ¦               ¦                       ¦               ¦       °--Canceled",3,6,2,3,-14.92,0.428031654679222,-14.92
"     ¦               ¦                       ¦               °--Canceled        ",3,5,2,3,-14.92,0.500235638082275,-21.1566925783663
"     ¦               ¦                       ¦                   °--Experiment  ",3,5,2,3,NA,NA,-6.23669257836633
"     ¦               ¦                       ¦                       ¦--Not.c   ",3,6,2,3,5.37,0.427959951780861,5.37
"     ¦               ¦                       ¦                       °--Canceled",4,6,2,3,-14.92,0.572040048219139,-14.92
"     ¦               ¦                       °--Canceled                        ",2,3,2,3,-14.92,0.500057365801928,-33.0143509662843
"     ¦               ¦                           °--Control                     ",2,3,2,3,NA,NA,-18.0943509662843
"     ¦               ¦                               ¦--Not.c                   ",2,3,2,4,5.7,0.399555014289568,-3.19622081429951
"     ¦               ¦                               ¦   °--Control             ",2,3,2,4,NA,NA,-8.89622081429951
"     ¦               ¦                               ¦       ¦--Not.c           ",2,3,2,5,5.7,0.500154192641947,2.69756339086344
"     ¦               ¦                               ¦       ¦   °--Control     ",2,3,2,5,NA,NA,-3.00243660913656
"     ¦               ¦                               ¦       ¦       ¦--Not.c   ",2,3,2,6,5.7,0.57109725928356,5.7
"     ¦               ¦                               ¦       ¦       °--Canceled",2,3,3,6,-14.59,0.42890274071644,-14.59
"     ¦               ¦                               ¦       °--Canceled        ",2,3,3,5,-14.59,0.499845807358053,-20.4971579301819
"     ¦               ¦                               ¦           °--Control     ",2,3,3,5,NA,NA,-5.90715793018189
"     ¦               ¦                               ¦               ¦--Not.c   ",2,3,3,6,5.7,0.427937016748059,5.7
"     ¦               ¦                               ¦               °--Canceled",2,3,4,6,-14.59,0.572062983251941,-14.59
"     ¦               ¦                               °--Canceled                ",2,3,3,4,-14.59,0.600444985710432,-28.0080362287586
"     ¦               ¦                                   °--Experiment          ",2,3,3,4,NA,NA,-13.4180362287586
"     ¦               ¦                                       ¦--Not.c           ",2,4,3,4,5.37,0.399333069618953,0.609682090873544
"     ¦               ¦                                       ¦   °--Experiment  ",2,4,3,4,NA,NA,-4.76031790912646
"     ¦               ¦                                       ¦       ¦--Not.c   ",2,5,3,4,5.37,0.500723612167252,5.37
"     ¦               ¦                                       ¦       °--Canceled",3,5,3,4,-14.92,0.499276387832748,-14.92
"     ¦               ¦                                       °--Canceled        ",3,4,3,4,-14.92,0.600666930381047,-22.7438897642198
"     ¦               ¦                                           °--Control     ",3,4,3,4,NA,NA,-7.82388976421982
"     ¦               ¦                                               ¦--Not.c   ",3,4,3,5,5.7,0.333470193976352,5.7
"     ¦               ¦                                               °--Canceled",3,4,4,5,-14.59,0.666529806023648,-14.59
"     ¦               °--Canceled                                                ",1,1,1,2,-14.92,0.499437502549712,-40.7931736384117
"     ¦                   °--Control                                             ",1,1,1,2,NA,NA,-25.8731736384117
"     ¦                       ¦--Not.c                                           ",1,1,1,3,5.7,0.498909142898615,-6.35739915597859
"     ¦                       ¦   °--Control                                     ",1,1,1,3,NA,NA,-12.0573991559786
"     ¦                       ¦       ¦--Not.c                                   ",1,1,1,4,5.7,0.600250952839571,1.45795593495316
"     ¦                       ¦       ¦   °--Control                             ",1,1,1,4,NA,NA,-4.24204406504684
"     ¦                       ¦       ¦       ¦--Not.c                           ",1,1,1,5,5.7,0.667565720684001,5.38209532989971
"     ¦                       ¦       ¦       ¦   °--Control                     ",1,1,1,5,NA,NA,-0.317904670100295
"     ¦                       ¦       ¦       ¦       ¦--Not.c                   ",1,1,1,6,5.7,0.713351539198843,6.94536987337804
"     ¦                       ¦       ¦       ¦       ¦   °--Control             ",1,1,1,6,NA,NA,1.24536987337804
"     ¦                       ¦       ¦       ¦       ¦       ¦--Not.c           ",1,1,1,7,5.7,0.749914557838575,6.88593929278545
"     ¦                       ¦       ¦       ¦       ¦       ¦   °--Control     ",1,1,1,7,NA,NA,1.18593929278545
"     ¦                       ¦       ¦       ¦       ¦       ¦       ¦--Not.c   ",1,1,1,8,5.7,0.77752288283812,5.7
"     ¦                       ¦       ¦       ¦       ¦       ¦       °--Canceled",1,1,2,8,-14.59,0.22247711716188,-14.59
"     ¦                       ¦       ¦       ¦       ¦       °--Canceled        ",1,1,2,7,-14.59,0.250085442161425,-15.6686299402631
"     ¦                       ¦       ¦       ¦       ¦           °--Control     ",1,1,2,7,NA,NA,-1.07862994026308
"     ¦                       ¦       ¦       ¦       ¦               ¦--Not.c   ",1,1,2,8,5.7,0.665912767852978,5.7
"     ¦                       ¦       ¦       ¦       ¦               °--Canceled",1,1,3,8,-14.59,0.334087232147022,-14.59
"     ¦                       ¦       ¦       ¦       °--Canceled                ",1,1,2,6,-14.59,0.286648460801157,-18.3932435738322
"     ¦                       ¦       ¦       ¦           °--Control             ",1,1,2,6,NA,NA,-3.80324357383225
"     ¦                       ¦       ¦       ¦               ¦--Not.c           ",1,1,2,7,5.7,0.625709286201406,4.6404594713567
"     ¦                       ¦       ¦       ¦               ¦   °--Control     ",1,1,2,7,NA,NA,-1.0595405286433
"     ¦                       ¦       ¦       ¦               ¦       ¦--Not.c   ",1,1,2,8,5.7,0.666853596419749,5.7
"     ¦                       ¦       ¦       ¦               ¦       °--Canceled",1,1,3,8,-14.59,0.333146403580251,-14.59
"     ¦                       ¦       ¦       ¦               °--Canceled        ",1,1,3,7,-14.59,0.374290713798594,-17.9187511472976
"     ¦                       ¦       ¦       ¦                   °--Control     ",1,1,3,7,NA,NA,-3.32875114729764
"     ¦                       ¦       ¦       ¦                       ¦--Not.c   ",1,1,3,8,5.7,0.555014729063694,5.7
"     ¦                       ¦       ¦       ¦                       °--Canceled",1,1,4,8,-14.59,0.444985270936306,-14.59
"     ¦                       ¦       ¦       °--Canceled                        ",1,1,2,5,-14.59,0.332434279315999,-23.568407051349
"     ¦                       ¦       ¦           °--Control                     ",1,1,2,5,NA,NA,-8.97840705134904
"     ¦                       ¦       ¦               ¦--Not.c                   ",1,1,2,6,5.7,0.571853685598335,1.87774727124297
"     ¦                       ¦       ¦               ¦   °--Control             ",1,1,2,6,NA,NA,-3.82225272875703
"     ¦                       ¦       ¦               ¦       ¦--Not.c           ",1,1,2,7,5.7,0.624984144567385,4.6366683164439
"     ¦                       ¦       ¦               ¦       ¦   °--Control     ",1,1,2,7,NA,NA,-1.0633316835561
"     ¦                       ¦       ¦               ¦       ¦       ¦--Not.c   ",1,1,2,8,5.7,0.666666747976535,5.7
"     ¦                       ¦       ¦               ¦       ¦       °--Canceled",1,1,3,8,-14.59,0.333333252023465,-14.59
"     ¦                       ¦       ¦               ¦       °--Canceled        ",1,1,3,7,-14.59,0.375015855432615,-17.9195007699079
"     ¦                       ¦       ¦               ¦           °--Control     ",1,1,3,7,NA,NA,-3.3295007699079
"     ¦                       ¦       ¦               ¦               ¦--Not.c   ",1,1,3,8,5.7,0.554977783641799,5.7
"     ¦                       ¦       ¦               ¦               °--Canceled",1,1,4,8,-14.59,0.445022216358201,-14.59
"     ¦                       ¦       ¦               °--Canceled                ",1,1,3,6,-14.59,0.428146314401665,-23.478431113157
"     ¦                       ¦       ¦                   °--Control             ",1,1,3,6,NA,NA,-8.88843111315697
"     ¦                       ¦       ¦                       ¦--Not.c           ",1,1,3,7,5.7,0.500034572085835,2.3737739123325
"     ¦                       ¦       ¦                       ¦   °--Control     ",1,1,3,7,NA,NA,-3.3262260876675
"     ¦                       ¦       ¦                       ¦       ¦--Not.c   ",1,1,3,8,5.7,0.555139177542262,5.7
"     ¦                       ¦       ¦                       ¦       °--Canceled",1,1,4,8,-14.59,0.444860822457738,-14.59
"     ¦                       ¦       ¦                       °--Canceled        ",1,1,4,7,-14.59,0.499965427914165,-20.1521936780165
"     ¦                       ¦       ¦                           °--Control     ",1,1,4,7,NA,NA,-5.56219367801654
"     ¦                       ¦       ¦                               ¦--Not.c   ",1,1,4,8,5.7,0.444938704878436,5.7
"     ¦                       ¦       ¦                               °--Canceled",1,1,5,8,-14.59,0.555061295121564,-14.59
