"levelName","cancel_e","n_e","cancel_c","n_c","loss","P","profit"
"     ¦       ¦       ¦       ¦       ¦                               ¦--Not.c   ",0,0,3,9,5.7,0.599612209333488,5.7
"     ¦       ¦       ¦       ¦       ¦                               °--Canceled",0,0,4,9,-14.59,0.400387790666512,-14.59
"     ¦       ¦       ¦       ¦       °--Canceled                                ",0,0,1,5,-14.59,0.166958609831553,-14.992645139583
"     ¦       ¦       ¦       ¦           °--Control                             ",0,0,1,5,NA,NA,-0.40264513958301
"     ¦       ¦       ¦       ¦               ¦--Not.c                           ",0,0,1,6,5.7,0.713827419685653,7.58212566584686
"     ¦       ¦       ¦       ¦               ¦   °--Control                     ",0,0,1,6,NA,NA,1.88212566584686
"     ¦       ¦       ¦       ¦               ¦       ¦--Not.c                   ",0,0,1,7,5.7,0.749836304007831,8.08692020551615
"     ¦       ¦       ¦       ¦               ¦       ¦   °--Control             ",0,0,1,7,NA,NA,2.38692020551615
"     ¦       ¦       ¦       ¦               ¦       ¦       ¦--Not.c           ",0,0,1,8,5.7,0.778146045820183,7.33541453085141
"     ¦       ¦       ¦       ¦               ¦       ¦       ¦   °--Control     ",0,0,1,8,NA,NA,1.63541453085141
"     ¦       ¦       ¦       ¦               ¦       ¦       ¦       ¦--Not.c   ",0,0,1,9,5.7,0.799675432767443,5.7
"     ¦       ¦       ¦       ¦               ¦       ¦       ¦       °--Canceled",0,0,2,9,-14.59,0.200324567232557,-14.59
"     ¦       ¦       ¦       ¦               ¦       ¦       °--Canceled        ",0,0,2,8,-14.59,0.221853954179817,-14.9697742300594
"     ¦       ¦       ¦       ¦               ¦       ¦           °--Control     ",0,0,2,8,NA,NA,-0.37977423005939
"     ¦       ¦       ¦       ¦               ¦       ¦               ¦--Not.c   ",0,0,2,9,5.7,0.700356124689039,5.7
"     ¦       ¦       ¦       ¦               ¦       ¦               °--Canceled",0,0,3,9,-14.59,0.299643875310961,-14.59
"     ¦       ¦       ¦       ¦               ¦       °--Canceled                ",0,0,2,7,-14.59,0.250163695992169,-16.7160173872491
"     ¦       ¦       ¦       ¦               ¦           °--Control             ",0,0,2,7,NA,NA,-2.12601738724913
"     ¦       ¦       ¦       ¦               ¦               ¦--Not.c           ",0,0,2,8,5.7,0.666868714049376,5.30773014855564
"     ¦       ¦       ¦       ¦               ¦               ¦   °--Control     ",0,0,2,8,NA,NA,-0.392269851444361
"     ¦       ¦       ¦       ¦               ¦               ¦       ¦--Not.c   ",0,0,2,9,5.7,0.699740273462575,5.7
"     ¦       ¦       ¦       ¦               ¦               ¦       °--Canceled",0,0,3,9,-14.59,0.300259726537425,-14.59
"     ¦       ¦       ¦       ¦               ¦               °--Canceled        ",0,0,3,8,-14.59,0.333131285950624,-17.0070383805899
"     ¦       ¦       ¦       ¦               ¦                   °--Control     ",0,0,3,8,NA,NA,-2.41703838058987
"     ¦       ¦       ¦       ¦               ¦                       ¦--Not.c   ",0,0,3,9,5.7,0.599948823036478,5.7
"     ¦       ¦       ¦       ¦               ¦                       °--Canceled",0,0,4,9,-14.59,0.400051176963522,-14.59
"     ¦       ¦       ¦       ¦               °--Canceled                        ",0,0,2,6,-14.59,0.286172580314347,-20.319816570055
"     ¦       ¦       ¦       ¦                   °--Control                     ",0,0,2,6,NA,NA,-5.72981657005495
"     ¦       ¦       ¦       ¦                       ¦--Not.c                   ",0,0,2,7,5.7,0.624767397554486,3.58109557317585
"     ¦       ¦       ¦       ¦                       ¦   °--Control             ",0,0,2,7,NA,NA,-2.11890442682415
"     ¦       ¦       ¦       ¦                       ¦       ¦--Not.c           ",0,0,2,8,5.7,0.666983841371972,5.31607648446862
"     ¦       ¦       ¦       ¦                       ¦       ¦   °--Control     ",0,0,2,8,NA,NA,-0.383923515531378
"     ¦       ¦       ¦       ¦                       ¦       ¦       ¦--Not.c   ",0,0,2,9,5.7,0.700151625651485,5.7
"     ¦       ¦       ¦       ¦                       ¦       ¦       °--Canceled",0,0,3,9,-14.59,0.299848374348515,-14.59
"     ¦       ¦       ¦       ¦                       ¦       °--Canceled        ",0,0,3,8,-14.59,0.333016158628028,-17.010110154413
"     ¦       ¦       ¦       ¦                       ¦           °--Control     ",0,0,3,8,NA,NA,-2.42011015441303
"     ¦       ¦       ¦       ¦                       ¦               ¦--Not.c   ",0,0,3,9,5.7,0.599797429550861,5.7
"     ¦       ¦       ¦       ¦                       ¦               °--Canceled",0,0,4,9,-14.59,0.400202570449139,-14.59
"     ¦       ¦       ¦       ¦                       °--Canceled                ",0,0,3,7,-14.59,0.375232602445514,-21.2326121978135
"     ¦       ¦       ¦       ¦                           °--Control             ",0,0,3,7,NA,NA,-6.64261219781346
"     ¦       ¦       ¦       ¦                               ¦--Not.c           ",0,0,3,8,5.7,0.555405466693158,3.28559499868133
"     ¦       ¦       ¦       ¦                               ¦   °--Control     ",0,0,3,8,NA,NA,-2.41440500131867
"     ¦       ¦       ¦       ¦                               ¦       ¦--Not.c   ",0,0,3,9,5.7,0.600078610087793,5.7
"     ¦       ¦       ¦       ¦                               ¦       °--Canceled",0,0,4,9,-14.59,0.399921389912207,-14.59
"     ¦       ¦       ¦       ¦                               °--Canceled        ",0,0,4,8,-14.59,0.444594533306842,-19.045330041377
"     ¦       ¦       ¦       ¦                                   °--Control     ",0,0,4,8,NA,NA,-4.45533004137696
"     ¦       ¦       ¦       ¦                                       ¦--Not.c   ",0,0,4,9,5.7,0.499490880168706,5.7
"     ¦       ¦       ¦       ¦                                       °--Canceled",0,0,5,9,-14.59,0.500509119831294,-14.59
"     ¦       ¦       ¦       °--Canceled                                        ",0,0,1,4,-14.59,0.200525209651591,-19.5841986301372
"     ¦       ¦       ¦           °--Control                                     ",0,0,1,4,NA,NA,-4.99419863013716
"     ¦       ¦       ¦               ¦--Not.c                                   ",0,0,1,5,5.7,0.665067703494979,5.28120338086803
"     ¦       ¦       ¦               ¦   °--Control                             ",0,0,1,5,NA,NA,-0.418796619131974
"     ¦       ¦       ¦               ¦       ¦--Not.c                           ",0,0,1,6,5.7,0.71376363394666,7.56342514387938
"     ¦       ¦       ¦               ¦       ¦   °--Control                     ",0,0,1,6,NA,NA,1.86342514387938
"     ¦       ¦       ¦               ¦       ¦       ¦--Not.c                   ",0,0,1,7,5.7,0.748963364996135,8.09413678097724
"     ¦       ¦       ¦               ¦       ¦       ¦   °--Control             ",0,0,1,7,NA,NA,2.39413678097724
"     ¦       ¦       ¦               ¦       ¦       ¦       ¦--Not.c           ",0,0,1,8,5.7,0.778275468241005,7.34401078859362
"     ¦       ¦       ¦               ¦       ¦       ¦       ¦   °--Control     ",0,0,1,8,NA,NA,1.64401078859362
"     ¦       ¦       ¦               ¦       ¦       ¦       ¦       ¦--Not.c   ",0,0,1,9,5.7,0.800099102444239,5.7
"     ¦       ¦       ¦               ¦       ¦       ¦       ¦       °--Canceled",0,0,2,9,-14.59,0.199900897555761,-14.59
"     ¦       ¦       ¦               ¦       ¦       ¦       °--Canceled        ",0,0,2,8,-14.59,0.221724531758995,-14.9804201994789
"     ¦       ¦       ¦               ¦       ¦       ¦           °--Control     ",0,0,2,8,NA,NA,-0.390420199478935
"     ¦       ¦       ¦               ¦       ¦       ¦               ¦--Not.c   ",0,0,2,9,5.7,0.699831434229722,5.7
"     ¦       ¦       ¦               ¦       ¦       ¦               °--Canceled",0,0,3,9,-14.59,0.300168565770278,-14.59
"     ¦       ¦       ¦               ¦       ¦       °--Canceled                ",0,0,2,7,-14.59,0.251036635003865,-16.7257929356632
"     ¦       ¦       ¦               ¦       ¦           °--Control             ",0,0,2,7,NA,NA,-2.13579293566321
"     ¦       ¦       ¦               ¦       ¦               ¦--Not.c           ",0,0,2,8,5.7,0.666961582093288,5.29796111743863
"     ¦       ¦       ¦               ¦       ¦               ¦   °--Control     ",0,0,2,8,NA,NA,-0.402038882561374
"     ¦       ¦       ¦               ¦       ¦               ¦       ¦--Not.c   ",0,0,2,9,5.7,0.699258803225166,5.7
"     ¦       ¦       ¦               ¦       ¦               ¦       °--Canceled",0,0,3,9,-14.59,0.300741196774834,-14.59
"     ¦       ¦       ¦               ¦       ¦               °--Canceled        ",0,0,3,8,-14.59,0.333038417906712,-17.0230494729495
"     ¦       ¦       ¦               ¦       ¦                   °--Control     ",0,0,3,8,NA,NA,-2.43304947294954
"     ¦       ¦       ¦               ¦       ¦                       ¦--Not.c   ",0,0,3,9,5.7,0.599159710549555,5.7
"     ¦       ¦       ¦               ¦       ¦                       °--Canceled",0,0,4,9,-14.59,0.400840289450445,-14.59
"     ¦       ¦       ¦               ¦       °--Canceled                        ",0,0,2,6,-14.59,0.28623636605334,-20.3233939667429
"     ¦       ¦       ¦               ¦           °--Control                     ",0,0,2,6,NA,NA,-5.73339396674288
"     ¦       ¦       ¦               ¦               ¦--Not.c                   ",0,0,2,7,5.7,0.625338832418736,3.54460415213745
"     ¦       ¦       ¦               ¦               ¦   °--Control             ",0,0,2,7,NA,NA,-2.15539584786255
"     ¦       ¦       ¦               ¦               ¦       ¦--Not.c           ",0,0,2,8,5.7,0.665872955387946,5.30190157424872
"     ¦       ¦       ¦               ¦               ¦       ¦   °--Control     ",0,0,2,8,NA,NA,-0.398098425751281
"     ¦       ¦       ¦               ¦               ¦       ¦       ¦--Not.c   ",0,0,2,9,5.7,0.699453010066472,5.7
"     ¦       ¦       ¦               ¦               ¦       ¦       °--Canceled",0,0,3,9,-14.59,0.300546989933528,-14.59
"     ¦       ¦       ¦               ¦               ¦       °--Canceled        ",0,0,3,8,-14.59,0.334127044612054,-17.0168467652332
"     ¦       ¦       ¦               ¦               ¦           °--Control     ",0,0,3,8,NA,NA,-2.42684676523317
"     ¦       ¦       ¦               ¦               ¦               ¦--Not.c   ",0,0,3,9,5.7,0.59946541324627,5.7
"     ¦       ¦       ¦               ¦               ¦               °--Canceled",0,0,4,9,-14.59,0.40053458675373,-14.59
"     ¦       ¦       ¦               ¦               °--Canceled                ",0,0,3,7,-14.59,0.374661167581264,-21.2190994864787
"     ¦       ¦       ¦               ¦                   °--Control             ",0,0,3,7,NA,NA,-6.6290994864787
"     ¦       ¦       ¦               ¦                       ¦--Not.c           ",0,0,3,8,5.7,0.555957587312294,3.27812886963453
"     ¦       ¦       ¦               ¦                       ¦   °--Control     ",0,0,3,8,NA,NA,-2.42187113036547
"     ¦       ¦       ¦               ¦                       ¦       ¦--Not.c   ",0,0,3,9,5.7,0.599710639213136,5.7
"     ¦       ¦       ¦               ¦                       ¦       °--Canceled",0,0,4,9,-14.59,0.400289360786864,-14.59
"     ¦       ¦       ¦               ¦                       °--Canceled        ",0,0,4,8,-14.59,0.444042412687706,-19.0333172288285
"     ¦       ¦       ¦               ¦                           °--Control     ",0,0,4,8,NA,NA,-4.4433172288285
"     ¦       ¦       ¦               ¦                               ¦--Not.c   ",0,0,4,9,5.7,0.500082935986767,5.7
"     ¦       ¦       ¦               ¦                               °--Canceled",0,0,5,9,-14.59,0.499917064013233,-14.59
"     ¦       ¦       ¦               °--Canceled                                ",0,0,2,5,-14.59,0.334932296505021,-25.3978386769682
"     ¦       ¦       ¦                   °--Control                             ",0,0,2,5,NA,NA,-10.8078386769682
"     ¦       ¦       ¦                       ¦--Not.c                           ",0,0,2,6,5.7,0.571561190805376,-0.01079775527334
"     ¦       ¦       ¦                       ¦   °--Control                     ",0,0,2,6,NA,NA,-5.71079775527334
"     ¦       ¦       ¦                       ¦       ¦--Not.c                   ",0,0,2,7,5.7,0.625762633215379,3.58953742317707
"     ¦       ¦       ¦                       ¦       ¦   °--Control             ",0,0,2,7,NA,NA,-2.11046257682293
"     ¦       ¦       ¦                       ¦       ¦       ¦--Not.c           ",0,0,2,8,5.7,0.666990848211949,5.32005901530505
"     ¦       ¦       ¦                       ¦       ¦       ¦   °--Control     ",0,0,2,8,NA,NA,-0.379940984694953
"     ¦       ¦       ¦                       ¦       ¦       ¦       ¦--Not.c   ",0,0,2,9,5.7,0.700347906126419,5.7
"     ¦       ¦       ¦                       ¦       ¦       ¦       °--Canceled",0,0,3,9,-14.59,0.299652093873581,-14.59
"     ¦       ¦       ¦                       ¦       ¦       °--Canceled        ",0,0,3,8,-14.59,0.333009151788051,-16.9932064076742
"     ¦       ¦       ¦                       ¦       ¦           °--Control     ",0,0,3,8,NA,NA,-2.40320640767423
"     ¦       ¦       ¦                       ¦       ¦               ¦--Not.c   ",0,0,3,9,5.7,0.600630536832221,5.7
"     ¦       ¦       ¦                       ¦       ¦               °--Canceled",0,0,4,9,-14.59,0.399369463167779,-14.59
"     ¦       ¦       ¦                       ¦       °--Canceled                ",0,0,3,7,-14.59,0.374237366784621,-21.2618964631748
"     ¦       ¦       ¦                       ¦           °--Control             ",0,0,3,7,NA,NA,-6.67189646317476
"     ¦       ¦       ¦                       ¦               ¦--Not.c           ",0,0,3,8,5.7,0.554028540742011,3.28292801120305
"     ¦       ¦       ¦                       ¦               ¦   °--Control     ",0,0,3,8,NA,NA,-2.41707198879695
"     ¦       ¦       ¦                       ¦               ¦       ¦--Not.c   ",0,0,3,9,5.7,0.599947166643817,5.7
"     ¦       ¦       ¦                       ¦               ¦       °--Canceled",0,0,4,9,-14.59,0.400052833356183,-14.59
"     ¦       ¦       ¦                       ¦               °--Canceled        ",0,0,4,8,-14.59,0.445971459257989,-19.0387346596341
"     ¦       ¦       ¦                       ¦                   °--Control     ",0,0,4,8,NA,NA,-4.44873465963407
"     ¦       ¦       ¦                       ¦                       ¦--Not.c   ",0,0,4,9,5.7,0.499815935947064,5.7
"     ¦       ¦       ¦                       ¦                       °--Canceled",0,0,5,9,-14.59,0.500184064052936,-14.59
"     ¦       ¦       ¦                       °--Canceled                        ",0,0,3,6,-14.59,0.428438809194624,-25.2116915351599
"     ¦       ¦       ¦                           °--Experiment                  ",0,0,3,6,NA,NA,-10.6216915351599
"     ¦       ¦       ¦                               ¦--Not.c                   ",0,1,3,6,5.37,0.498111503122193,2.70134047360108
"     ¦       ¦       ¦                               ¦   °--Experiment          ",0,1,3,6,NA,NA,-2.66865952639892
"     ¦       ¦       ¦                               ¦       ¦--Not.c           ",0,2,3,6,5.37,0.667437964346949,5.66242835503703
"     ¦       ¦       ¦                               ¦       ¦   °--Experiment  ",0,2,3,6,NA,NA,0.29242835503703
"     ¦       ¦       ¦                               ¦       ¦       ¦--Not.c   ",0,3,3,6,5.37,0.74975004214081,5.37
"     ¦       ¦       ¦                               ¦       ¦       °--Canceled",1,3,3,6,-14.92,0.25024995785919,-14.92
"     ¦       ¦       ¦                               ¦       °--Canceled        ",1,2,3,6,-14.92,0.332562035653051,-19.3888011548985
"     ¦       ¦       ¦                               ¦           °--Control     ",1,2,3,6,NA,NA,-4.46880115489851
"     ¦       ¦       ¦                               ¦               ¦--Not.c   ",1,2,3,7,5.7,0.49882695145892,5.7
"     ¦       ¦       ¦                               ¦               °--Canceled",1,2,4,7,-14.59,0.50117304854108,-14.59
"     ¦       ¦       ¦                               °--Canceled                ",1,1,3,6,-14.92,0.501888496877807,-23.8444602204617
"     ¦       ¦       ¦                                   °--Control             ",1,1,3,6,NA,NA,-8.92446022046168
"     ¦       ¦       ¦                                       ¦--Not.c           ",1,1,3,7,5.7,0.499063971168007,2.3711903415892
"     ¦       ¦       ¦                                       ¦   °--Control     ",1,1,3,7,NA,NA,-3.3288096584108
"     ¦       ¦       ¦                                       ¦       ¦--Not.c   ",1,1,3,8,5.7,0.555011845322287,5.7
"     ¦       ¦       ¦                                       ¦       °--Canceled",1,1,4,8,-14.59,0.444988154677713,-14.59
"     ¦       ¦       ¦                                       °--Canceled        ",1,1,4,7,-14.59,0.500936028831993,-20.177897589635
"     ¦       ¦       ¦                                           °--Control     ",1,1,4,7,NA,NA,-5.587897589635
"     ¦       ¦       ¦                                               ¦--Not.c   ",1,1,4,8,5.7,0.443671878283144,5.7
"     ¦       ¦       ¦                                               °--Canceled",1,1,5,8,-14.59,0.556328121716856,-14.59
