"Date","Pageviews","Ads"
2014-05-17,1174,FALSE
2014-05-18,1329,FALSE
2014-05-19,1414,FALSE
2014-05-20,1589,FALSE
2014-05-21,1654,FALSE
2014-05-22,1727,FALSE
2014-05-23,1302,FALSE
2014-05-24,1124,FALSE
2014-05-25,1329,FALSE
2014-05-26,1221,FALSE
2014-05-27,1305,FALSE
2014-05-28,1505,FALSE
2014-05-29,1518,FALSE
2014-05-30,1737,FALSE
2014-05-31,1625,FALSE
2014-06-01,2960,FALSE
2014-06-02,1836,FALSE
2014-06-03,1495,FALSE
2014-06-04,1379,FALSE
2014-06-05,1722,FALSE
2014-06-06,1385,FALSE
2014-06-07,1557,FALSE
2014-06-08,1167,FALSE
2014-06-09,727,FALSE
2014-06-10,1394,FALSE
2014-06-11,1372,FALSE
2014-06-12,2230,FALSE
2014-06-13,1238,FALSE
2014-06-14,1184,FALSE
2014-06-15,1344,FALSE
2014-06-16,1548,FALSE
2014-06-17,1384,FALSE
2014-06-18,1458,FALSE
2014-06-19,1151,FALSE
2014-06-20,1381,FALSE
2014-06-21,1585,FALSE
2014-06-22,1318,FALSE
2014-06-23,1304,FALSE
2014-06-24,1631,FALSE
2014-06-25,1370,FALSE
2014-06-26,1458,FALSE
2014-06-27,1141,FALSE
2014-06-28,1235,FALSE
2014-06-29,1303,FALSE
2014-06-30,2152,FALSE
2014-07-01,1643,FALSE
2014-07-02,1692,FALSE
2014-07-03,1807,FALSE
2014-07-04,1538,FALSE
2014-07-05,1185,FALSE
2014-07-06,1947,FALSE
2014-07-07,1753,FALSE
2014-07-08,2439,FALSE
2014-07-09,1746,FALSE
2014-07-10,1465,FALSE
2014-07-11,2418,FALSE
2014-07-12,1532,FALSE
2014-07-13,1358,FALSE
2014-07-14,1624,FALSE
2014-07-15,1735,FALSE
2014-07-16,2152,FALSE
2014-07-17,1683,FALSE
2014-07-18,1771,FALSE
2014-07-19,1496,FALSE
2014-07-20,1664,FALSE
2014-07-21,1664,FALSE
2014-07-22,1684,FALSE
2014-07-23,1777,FALSE
2014-07-24,1815,FALSE
2014-07-25,1299,FALSE
2014-07-26,1390,FALSE
2014-07-27,1546,FALSE
2014-07-28,1716,FALSE
2014-07-29,1798,FALSE
2014-07-30,1581,FALSE
2014-07-31,1396,FALSE
2014-08-01,1777,FALSE
2014-08-02,1989,FALSE
2014-08-03,2240,FALSE
2014-08-04,1921,FALSE
2014-08-05,1715,FALSE
2014-08-06,1702,FALSE
2014-08-07,1506,FALSE
2014-08-08,1534,FALSE
2014-08-09,1659,FALSE
2014-08-10,1462,FALSE
2014-08-11,1639,FALSE
2014-08-12,1599,FALSE
2014-08-13,1459,FALSE
2014-08-14,1517,FALSE
2014-08-15,1531,FALSE
2014-08-16,1945,FALSE
2014-08-17,2299,FALSE
2014-08-18,2354,FALSE
2014-08-19,1551,FALSE
2014-08-20,1716,FALSE
2014-08-21,1518,FALSE
2014-08-22,3464,FALSE
2014-08-23,1659,FALSE
2014-08-24,1450,FALSE
2014-08-25,1695,FALSE
2014-08-26,1692,FALSE
2014-08-27,1511,FALSE
2014-08-28,1527,FALSE
2014-08-29,1288,FALSE
2014-08-30,1202,FALSE
2014-08-31,1773,FALSE
2014-09-01,2073,FALSE
2014-09-02,1677,FALSE
2014-09-03,1639,FALSE
2014-09-04,1920,FALSE
2014-09-05,1444,FALSE
2014-09-06,1540,FALSE
2014-09-07,5326,FALSE
2014-09-08,10061,FALSE
2014-09-09,2584,FALSE
2014-09-10,1889,FALSE
2014-09-11,1600,FALSE
2014-09-12,1473,FALSE
2014-09-13,1757,FALSE
2014-09-14,3661,FALSE
2014-09-15,2087,FALSE
2014-09-16,1827,FALSE
2014-09-17,1608,FALSE
2014-09-18,1543,FALSE
2014-09-19,1294,FALSE
2014-09-20,1331,FALSE
2014-09-21,1642,FALSE
2014-09-22,1585,FALSE
2014-09-23,1520,FALSE
2014-09-24,1502,FALSE
2014-09-25,1477,FALSE
2014-09-26,2153,FALSE
2014-09-27,2328,FALSE
2014-09-28,2199,FALSE
2014-09-29,1970,FALSE
2014-09-30,1868,FALSE
2014-10-01,2121,FALSE
2014-10-02,1559,FALSE
2014-10-03,1377,FALSE
2014-10-04,1365,FALSE
2014-10-05,1488,FALSE
2014-10-06,1609,FALSE
2014-10-07,2228,FALSE
2014-10-08,1808,FALSE
2014-10-09,2000,FALSE
2014-10-10,1515,FALSE
2014-10-11,1357,FALSE
2014-10-12,3194,FALSE
2014-10-13,9356,FALSE
2014-10-14,7744,FALSE
2014-10-15,2050,FALSE
2014-10-16,1527,FALSE
2014-10-17,1371,FALSE
2014-10-18,1438,FALSE
2014-10-19,1480,FALSE
2014-10-20,1729,FALSE
2014-10-21,2074,FALSE
2014-10-22,5257,FALSE
2014-10-23,3100,FALSE
2014-10-24,1556,FALSE
2014-10-25,1395,FALSE
2014-10-26,1505,FALSE
2014-10-27,1965,FALSE
2014-10-28,1553,FALSE
2014-10-29,1405,FALSE
2014-10-30,1397,FALSE
2014-10-31,1327,FALSE
2014-11-01,1755,FALSE
2014-11-02,1783,FALSE
2014-11-03,1655,FALSE
2014-11-04,1805,FALSE
2014-11-05,1449,FALSE
2014-11-06,1837,FALSE
2014-11-07,1878,FALSE
2014-11-08,1416,FALSE
2014-11-09,1441,FALSE
2014-11-10,1511,FALSE
2014-11-11,1709,FALSE
2014-11-12,1349,FALSE
2014-11-13,1865,FALSE
2014-11-14,1587,FALSE
2014-11-15,3955,FALSE
2014-11-16,1702,FALSE
2014-11-17,1713,FALSE
2014-11-18,1771,FALSE
2014-11-19,1537,FALSE
2014-11-20,1403,FALSE
2014-11-21,1134,FALSE
2014-11-22,1251,FALSE
2014-11-23,1265,FALSE
2014-11-24,1482,FALSE
2014-11-25,1678,FALSE
2014-11-26,1401,FALSE
2014-11-27,1843,FALSE
2014-11-28,1537,FALSE
2014-11-29,1338,FALSE
2014-11-30,1852,FALSE
2014-12-01,2007,FALSE
2014-12-02,1895,FALSE
2014-12-03,1594,FALSE
2014-12-04,1491,FALSE
2014-12-05,1482,FALSE
2014-12-06,1402,FALSE
2014-12-07,1822,FALSE
2014-12-08,1781,FALSE
2014-12-09,1699,FALSE
2014-12-10,1835,FALSE
2014-12-11,1731,FALSE
2014-12-12,1255,FALSE
2014-12-13,1389,FALSE
2014-12-14,2027,FALSE
2014-12-15,1561,FALSE
2014-12-16,1371,FALSE
2014-12-17,1595,FALSE
2014-12-18,1453,FALSE
2014-12-19,1153,FALSE
2014-12-20,1310,FALSE
2014-12-21,1414,FALSE
2014-12-22,1427,FALSE
2014-12-23,1452,FALSE
2014-12-24,5790,FALSE
2014-12-25,1651,FALSE
2014-12-26,1334,FALSE
2014-12-27,1216,FALSE
2014-12-28,2518,FALSE
2014-12-29,1973,FALSE
2014-12-30,1742,FALSE
2014-12-31,1275,FALSE
2015-01-01,1602,FALSE
2015-01-02,2032,FALSE
2015-01-03,1660,FALSE
2015-01-04,1769,FALSE
2015-01-05,1693,FALSE
2015-01-06,1962,FALSE
2015-01-07,1733,FALSE
2015-01-08,1671,FALSE
2015-01-09,1295,FALSE
2015-01-10,2449,FALSE
2015-01-11,3651,FALSE
2015-01-12,2137,FALSE
2015-01-13,1967,FALSE
2015-01-14,1866,FALSE
2015-01-15,1660,FALSE
2015-01-16,1332,FALSE
2015-01-17,1442,FALSE
2015-01-18,1511,FALSE
2015-01-19,1553,FALSE
2015-01-20,1551,FALSE
2015-01-21,1604,FALSE
2015-01-22,1466,FALSE
2015-01-23,1483,FALSE
2015-01-24,2181,FALSE
2015-01-25,1926,FALSE
2015-01-26,1835,FALSE
2015-01-27,1909,FALSE
2015-01-28,1757,FALSE
2015-01-29,2075,FALSE
2015-01-30,1589,FALSE
2015-01-31,1513,FALSE
2015-02-01,1835,FALSE
2015-02-02,2049,FALSE
2015-02-03,2020,FALSE
2015-02-04,2233,FALSE
2015-02-05,2391,FALSE
2015-02-06,1914,FALSE
2015-02-07,1957,FALSE
2015-02-08,4423,FALSE
2015-02-09,2804,FALSE
2015-02-10,2288,FALSE
2015-02-11,1789,FALSE
2015-02-12,2127,FALSE
2015-02-13,1793,FALSE
2015-02-14,1680,FALSE
2015-02-15,2217,FALSE
2015-02-16,2063,FALSE
2015-02-17,2062,FALSE
2015-02-18,1933,FALSE
2015-02-19,2096,FALSE
2015-02-20,1686,FALSE
2015-02-21,1616,FALSE
2015-02-22,1794,FALSE
2015-02-23,1964,FALSE
2015-02-24,2006,FALSE
2015-02-25,1798,FALSE
2015-02-26,1520,FALSE
2015-02-27,1842,FALSE
2015-02-28,1758,FALSE
2015-03-01,2032,FALSE
2015-03-02,2225,FALSE
2015-03-03,1993,FALSE
2015-03-04,2059,TRUE
2015-03-05,2020,TRUE
2015-03-06,1819,TRUE
2015-03-07,1708,TRUE
2015-03-08,1821,TRUE
2015-03-09,2078,TRUE
2015-03-10,1952,TRUE
2015-03-11,1742,TRUE
2015-03-12,1834,TRUE
2015-03-13,1550,TRUE
2015-03-14,1545,TRUE
2015-03-15,1778,TRUE
2015-03-16,2245,TRUE
2015-03-17,2158,TRUE
2015-03-18,2422,TRUE
2015-03-19,3864,TRUE
2015-03-20,3422,TRUE
2015-03-21,2899,TRUE
2015-03-22,2254,TRUE
2015-03-23,2306,TRUE
2015-03-24,2237,TRUE
2015-03-25,2343,TRUE
2015-03-26,1950,TRUE
2015-03-27,1610,TRUE
2015-03-28,1636,TRUE
2015-03-29,1870,TRUE
2015-03-30,5162,TRUE
2015-03-31,3679,TRUE
2015-04-01,2700,TRUE
2015-04-02,2022,TRUE
2015-04-03,1873,TRUE
2015-04-04,2110,TRUE
2015-04-05,1901,TRUE
2015-04-06,1665,TRUE
2015-04-07,1757,TRUE
2015-04-08,2020,TRUE
2015-04-09,1944,TRUE
2015-04-10,1765,TRUE
2015-04-11,1523,TRUE
2015-04-12,1604,TRUE
2015-04-13,2159,TRUE
2015-04-14,1588,TRUE
2015-04-15,2177,TRUE
2015-04-16,1882,TRUE
2015-04-17,1526,TRUE
2015-04-18,4370,TRUE
2015-04-19,4279,TRUE
2015-04-20,2296,TRUE
2015-04-21,1838,TRUE
2015-04-22,2014,TRUE
2015-04-23,1696,TRUE
2015-04-24,2480,TRUE
2015-04-25,1739,TRUE
2015-04-26,2430,TRUE
2015-04-27,2144,TRUE
2015-04-28,1778,TRUE
2015-04-29,1772,TRUE
2015-04-30,1517,TRUE
2015-05-01,1791,TRUE
2015-05-02,1981,TRUE
2015-05-03,1749,TRUE
2015-05-04,1949,TRUE
2015-05-05,6618,TRUE
2015-05-06,5172,TRUE
2015-05-07,2531,TRUE
2015-05-08,1886,TRUE
2015-05-09,1706,TRUE
2015-05-10,1788,TRUE
2015-05-11,2142,TRUE
2015-05-12,2001,TRUE
2015-05-13,1889,TRUE
2015-05-14,1884,TRUE
2015-05-15,4384,TRUE
2015-05-16,5640,TRUE
2015-05-17,2439,TRUE
2015-05-18,2324,TRUE
2015-05-19,2140,TRUE
2015-05-20,1896,TRUE
2015-05-21,1806,TRUE
2015-05-22,1656,TRUE
2015-05-23,1519,TRUE
2015-05-24,4834,TRUE
2015-05-25,2843,TRUE
