ID,Name,Parent.ID,Parent.Name,Total.Transactions,Payment.BTC,Payment.USD.equivalent,Commission.BTC,Commission.USD.equivalent
241,Viagra etc,92,Prescription,2652,5871.10,109850,497.14,8692
333,Fertility,92,Prescription,419,534.13,34882,43.19,2791
350,Relaxants,92,Prescription,126,95.83,10140,8.42,899
334,General Health,92,Prescription,56,41.53,3710,3.28,278
142,Media,93,Digital goods,1783,772.74,10053,64.62,833
143,Invites / Accounts,93,Digital goods,1175,573.51,9378,55.05,830
175,Video,93,Digital goods,1079,189.36,2042,16.66,174
183,Security,93,Digital goods,250,556.41,15195,44.60,1139
487,Synthesis,93,Digital goods,175,4624.35,109202,230.56,5322
145,Security defense,94,Services,322,1705.21,18253,153.73,1535
238,Lab Testing,94,Services,3,70.12,538,5.28,36
307,Sport Betting,94,Services,1,.44,60,.04,6
248,Smoking Blend,96,Synthetic,1877,1425.58,75511,122.33,6162
249,Chemicals,96,Synthetic,1371,2535.76,91001,198.16,6596
556,UR-144,96,Synthetic,1,.14,15,.01,2
155,Digital currencies,98,Money,18134,6921.53,177167,323.15,8243
99,Bullion,98,Money,122,681.58,80952,29.68,3293
184,Loans,98,Money,47,1305.03,11292,54.11,435
101,Gold,99,Bullion,81,1760.41,159944,79.35,6231
100,Silver,99,Bullion,138,592.45,9746,47.49,787
482,Pest control,114,Home & Garden,144,488.10,22317,38.82,1694
115,Seeds,114,Home & Garden,45,40.01,759,3.09,52
116,Cuttings,114,Home & Garden,39,114.65,2086,10.90,180
118,Gardening Supplies,114,Home & Garden,2,8.59,911,.62,66
237,Beverages,117,Food,27,25.09,1173,1.71,77
295,Recipes,117,Food,6,.60,4,.06,0
250,Physical Books,122,Books,89,76.22,1992,6.02,149
291,Newsletters,122,Books,80,953.27,84804,18.85,1578
149,Magazines,122,Books,69,6.56,92,.51,7
302,Scales,127,Drug paraphernalia,1224,1511.06,42663,119.60,3433
229,Accessories,127,Drug paraphernalia,1445,725.20,22953,53.35,1637
128,Pipes,127,Drug paraphernalia,1466,1277.92,23694,110.94,2046
228,Vaporizers,127,Drug paraphernalia,625,475.29,32121,37.99,2584
323,Snuff Supplies,127,Drug paraphernalia,709,283.89,12474,21.11,927
